srcname,cpe_vendor,cpe_product,cpe_edition,cpe_lang,cpe_sw_edition,cpe_target_sw,cpe_target_hw,cpe_other
accessibility/at-spi2-atk,gnome,at-spi2-atk,*,*,*,*,*,*
accessibility/caribou,gnome,caribou,*,*,*,*,*,*
accessibility/linux-c7-at-spi2-atk,gnome,at-spi2-atk,*,*,*,*,*,*
accessibility/qt5-speech,digia,qt,*,*,*,*,*,*
accessibility/qt5-speech,qt,qt,*,*,*,*,*,*
accessibility/qt5-speech,qt,qtsvg,*,*,*,*,*,*
arabic/libreoffice,libreoffice,libreoffice,*,*,*,*,*,*
archivers/7-zip,7-zip,7-zip,*,*,*,*,*,*
archivers/advancecomp,advancemame,advancecomp,*,*,*,*,*,*
archivers/apache-commons-compress,apache,commons-compress,*,*,*,*,*,*
archivers/apache-commons-compress,apache,commons_compress,*,*,*,*,*,*
archivers/ark,kde,ark,*,*,*,*,*,*
archivers/brotli,google,brotli,*,*,*,*,*,*
archivers/bzip2,bzip,bzip2,*,*,*,*,*,*
archivers/cabextract,cabextract,cabextract,*,*,*,*,*,*
archivers/cabextract,cabextract_project,cabextract,*,*,*,*,*,*
archivers/dpkg,debian,dpkg,*,*,*,*,*,*
archivers/file-roller,file_roller_project,file_roller,*,*,*,gnome,*,*
archivers/file-roller,gnome,file-roller,*,*,*,*,*,*
archivers/file-roller,paolo_bacchilega,file_roller,*,*,*,*,*,*
archivers/gcab,gnome,gcab,*,*,*,*,*,*
archivers/gcpio,gnu,cpio,*,*,*,*,*,*
archivers/gnome-autoar,gnome,gnome-autoar,*,*,*,*,*,*
archivers/gtar,gnu,tar,*,*,*,*,*,*
archivers/gzip,gnu,gzip,*,*,*,*,*,*
archivers/gzip,gzip,gzip,*,*,*,*,*,*
archivers/libarchive,libarchive,libarchive,*,*,*,*,*,*
archivers/liblz4,lz4_project,lz4,*,*,*,*,*,*
archivers/libmspack,cabextract,libmspack,*,*,*,*,*,*
archivers/libmspack,kyzer,libmspack,*,*,*,*,*,*
archivers/libmspack,libmspack_project,libmspack,*,*,*,*,*,*
archivers/libunrar,rarlab,unrar,*,*,*,*,*,*
archivers/libzip,libzip,libzip,*,*,*,*,*,*
archivers/libzip,nih,libzip,*,*,*,*,*,*
archivers/linux-c7-lz4,lz4_project,lz4,*,*,*,*,*,*
archivers/lrzip,lrzip_project,lrzip,*,*,*,*,*,*
archivers/lzo2,lzo_project,lzo,*,*,*,*,*,*
archivers/minizip,gnu,zlib,*,*,*,*,*,*
archivers/minizip,zlib,zlib,*,*,*,*,*,*
archivers/p5-Archive-Tar,archive\:\:tar_project,archive\:\:tar,*,*,*,perl,*,*
archivers/php74-bz2,php,php,*,*,*,*,*,*
archivers/php74-bz2,php_group,php,*,*,*,*,*,*
archivers/php74-phar,php,php,*,*,*,*,*,*
archivers/php74-phar,php_group,php,*,*,*,*,*,*
archivers/php74-zip,php,php,*,*,*,*,*,*
archivers/php74-zip,php_group,php,*,*,*,*,*,*
archivers/php74-zlib,php,php,*,*,*,*,*,*
archivers/php74-zlib,php_group,php,*,*,*,*,*,*
archivers/php80-bz2,php,php,*,*,*,*,*,*
archivers/php80-bz2,php_group,php,*,*,*,*,*,*
archivers/php80-phar,php,php,*,*,*,*,*,*
archivers/php80-phar,php_group,php,*,*,*,*,*,*
archivers/php80-zip,php,php,*,*,*,*,*,*
archivers/php80-zip,php_group,php,*,*,*,*,*,*
archivers/php80-zlib,php,php,*,*,*,*,*,*
archivers/php80-zlib,php_group,php,*,*,*,*,*,*
archivers/php81-bz2,php,php,*,*,*,*,*,*
archivers/php81-bz2,php_group,php,*,*,*,*,*,*
archivers/php81-phar,php,php,*,*,*,*,*,*
archivers/php81-phar,php_group,php,*,*,*,*,*,*
archivers/php81-zip,php,php,*,*,*,*,*,*
archivers/php81-zip,php_group,php,*,*,*,*,*,*
archivers/php81-zlib,php,php,*,*,*,*,*,*
archivers/php81-zlib,php_group,php,*,*,*,*,*,*
archivers/php82-bz2,php,php,*,*,*,*,*,*
archivers/php82-bz2,php_group,php,*,*,*,*,*,*
archivers/php82-phar,php,php,*,*,*,*,*,*
archivers/php82-phar,php_group,php,*,*,*,*,*,*
archivers/php82-zip,php,php,*,*,*,*,*,*
archivers/php82-zip,php_group,php,*,*,*,*,*,*
archivers/php82-zlib,php,php,*,*,*,*,*,*
archivers/php82-zlib,php_group,php,*,*,*,*,*,*
archivers/pigz,zlib,pigz,*,*,*,*,*,*
archivers/py-brotli,google,brotli,*,*,*,*,*,*
archivers/rpm4,rpm,rpm,*,*,*,*,*,*
archivers/rubygem-rubyzip,rubyzip_project,rubyzip,*,*,*,*,*,*
archivers/rubygem-rubyzip13,rubyzip_project,rubyzip,*,*,*,*,*,*
archivers/rubygem-rubyzip20,rubyzip_project,rubyzip,*,*,*,*,*,*
archivers/rzip,rzip_project,rzip,*,*,*,*,*,*
archivers/sharutils,gnu,sharutils,*,*,*,*,*,*
archivers/unrar,rarlab,unrar,*,*,*,*,*,*
archivers/unzip,info-zip,unzip,*,*,*,*,*,*
archivers/unzip,unzip_project,unzip,*,*,*,*,*,*
archivers/upx,upx_project,upx,*,*,*,*,*,*
archivers/xmill,att,xmill,*,*,*,*,*,*
archivers/zstd,facebook,zstandard,*,*,*,*,*,*
astro/cfitsio,nasa,cfitsio,*,*,*,*,*,*
astro/gpsd,gpsd_project,gpsd,*,*,*,*,*,*
audio/alsa-lib,alsa-project,alsa,*,*,*,*,*,*
audio/alsa-lib,alsa-project,alsa-lib,*,*,*,*,*,*
audio/amarok,amarok,amarok,*,*,*,*,*,*
audio/amarok,kde,amarok,*,*,*,*,*,*
audio/ampache,ampache,ampache,*,*,*,*,*,*
audio/ardour6,ardour,ardour,*,*,*,*,*,*
audio/aubio,aubio,aubio,*,*,*,*,*,*
audio/audacity,audacity,audacity,*,*,*,*,*,*
audio/audacity,audacityteam,audacity,*,*,*,*,*,*
audio/csound,csound,csound,*,*,*,*,*,*
audio/csound,csounds,csound,*,*,*,*,*,*
audio/faad,audiocoding,faad2,*,*,*,*,*,*
audio/faad,faad2_project,faad2,*,*,*,*,*,*
audio/faust,grame,faust,*,*,*,*,*,*
audio/flac,flac_project,flac,*,*,*,*,*,*
audio/flac123,flac123,flac123,*,*,*,*,*,*
audio/fluidsynth,fluidsynth,fluidsynth,*,*,*,*,*,*
audio/furnace,tidearrow,furnace,*,*,*,*,*,*
audio/gstreamer1-plugins-bs2b,freedesktop,gst-plugins-bad,*,*,*,*,*,*
audio/gstreamer1-plugins-chromaprint,freedesktop,gst-plugins-bad,*,*,*,*,*,*
audio/gstreamer1-plugins-faac,freedesktop,gst-plugins-bad,*,*,*,*,*,*
audio/gstreamer1-plugins-faad,freedesktop,gst-plugins-bad,*,*,*,*,*,*
audio/gstreamer1-plugins-flite,freedesktop,gst-plugins-bad,*,*,*,*,*,*
audio/gstreamer1-plugins-gme,freedesktop,gst-plugins-bad,*,*,*,*,*,*
audio/gstreamer1-plugins-ladspa,freedesktop,gst-plugins-bad,*,*,*,*,*,*
audio/gstreamer1-plugins-modplug,freedesktop,gst-plugins-bad,*,*,*,*,*,*
audio/icecast,icecast,icecast,*,*,*,*,*,*
audio/icecast,xiph,icecast,*,*,*,*,*,*
audio/id3lib,id3lib,id3lib,*,*,*,*,*,*
audio/jack,jackaudio,jack2,*,*,*,*,*,*
audio/lame,lame_project,lame,*,*,*,*,*,*
audio/libadplug,adplug_project,adplug,*,*,*,*,*,*
audio/libadplug,audacious_media_player_team,adplug,*,*,*,*,*,*
audio/libao,xiph,libao,*,*,*,*,*,*
audio/libaudiofile,audio_file_library_project,audio_file_library,*,*,*,*,*,*
audio/libaudiofile,audiofile,audiofile,*,*,*,*,*,*
audio/libgig,libgig0,libgig,*,*,*,*,*,*
audio/libgig,linuxsampler,libgig,*,*,*,*,*,*
audio/libid3tag,libid3tag_project,libid3tag,*,*,*,*,*,*
audio/libid3tag,media-libs,libid3tag,*,*,*,*,*,*
audio/libid3tag,underbit,libid3tag,*,*,*,*,*,*
audio/libmikmod,igno_saitz,libmikmod,*,*,*,*,*,*
audio/libmikmod,raphael_assenat,libmikmod,*,*,*,*,*,*
audio/libmodplug,konstanty_bialkowski,libmodplug,*,*,*,*,*,*
audio/libmysofa,symonics,libmysofa,*,*,*,*,*,*
audio/libopenmpt,openmpt,libopenmpt,*,*,*,*,*,*
audio/libsamplerate,libsamplerate_project,libsamplerate,*,*,*,*,*,*
audio/libshout,libshout,libshout,*,*,*,*,*,*
audio/libsndfile,libsndfile_project,libsndfile,*,*,*,*,*,*
audio/libsndfile,mega-nerd,libsndfile,*,*,*,*,*,*
audio/libvorbis,xiph.org,libvorbis,*,*,*,*,*,*
audio/linux-c7-alsa-lib,alsa-project,alsa,*,*,*,*,*,*
audio/linux-c7-alsa-lib,alsa-project,alsa-lib,*,*,*,*,*,*
audio/linux-c7-alsa-lib-devel,alsa-project,alsa,*,*,*,*,*,*
audio/linux-c7-alsa-lib-devel,alsa-project,alsa-lib,*,*,*,*,*,*
audio/linux-c7-audiofile,audio_file_library_project,audio_file_library,*,*,*,*,*,*
audio/linux-c7-audiofile,audiofile,audiofile,*,*,*,*,*,*
audio/linux-c7-flac,flac_project,flac,*,*,*,*,*,*
audio/linux-c7-libsndfile,libsndfile_project,libsndfile,*,*,*,*,*,*
audio/linux-c7-libsndfile,mega-nerd,libsndfile,*,*,*,*,*,*
audio/linux-c7-libvorbis,xiph.org,libvorbis,*,*,*,*,*,*
audio/mikmod,miod_vallat,mikmod,*,*,*,*,*,*
audio/milkytracker,milkytracker_project,milkytracker,*,*,*,*,*,*
audio/miniaudio,miniaudio_project,miniaudio,*,*,*,*,*,*
audio/mp3gain,mp3gain,mp3gain,*,*,*,*,*,*
audio/mp3gain,mp3gain_project,mp3gain,*,*,*,*,*,*
audio/mpg123,mpg123,mpg123,*,*,*,*,*,*
audio/mpg321,mpg321,mpg321,*,*,*,*,*,*
audio/mpg321,mpg321_project,mpg321,*,*,*,*,*,*
audio/mumble,mumble,mumble,*,*,*,*,*,*
audio/ncmpc,ncmpc_project,ncmpc,*,*,*,*,*,*
audio/pulseaudio,pulseaudio,pulseaudio,*,*,*,*,*,*
audio/py-aubio,aubio,aubio,*,*,*,*,*,*
audio/soundtouch,surina,soundtouch,*,*,*,*,*,*
audio/sox,soundexchange,sound_exchange,*,*,*,*,*,*
audio/sox,sox_project,sox,*,*,*,*,*,*
audio/speex,xiph,speex,*,*,*,*,*,*
audio/streamripper,streamripper,streamripper,*,*,*,*,*,*
audio/taglib,scott_wheeler,taglib,*,*,*,*,*,*
audio/taglib,taglib,taglib,*,*,*,*,*,*
audio/timidity++,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/timidity++-emacs,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/timidity++-gtk,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/timidity++-motif,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/timidity++-slang,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/timidity++-xaw,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/timidity++-xskin,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/tuxguitar,herac,tuxguitar,*,*,*,*,*,*
audio/vorbis-tools,xiph,vorbis-tools,*,*,*,*,*,*
audio/wavpack,wavpack,wavpack,*,*,*,*,*,*
audio/wavpack,wavpack_project,wavpack,*,*,*,*,*,*
audio/wildmidi,mindwerks,wildmidi,*,*,*,*,*,*
benchmarks/dhrystone,dhrystone_project,dhrystone,*,*,*,*,*,*
benchmarks/iperf,iperf_project,iperf,*,*,*,*,*,*
benchmarks/iperf3,iperf_project,iperf,*,*,*,*,*,*
benchmarks/netperf,netperf,netperf,*,*,*,*,*,*
benchmarks/phoronix-test-suite,phoronix-media,phoronix_test_suite,*,*,*,*,*,*
biology/htslib,htslib,htslib,*,*,*,*,*,*
cad/PrusaSlicer,prusa3d,prusaslicer,*,*,*,*,*,*
cad/admesh,admesh_project,admesh,*,*,*,*,*,*
cad/freecad,freecadweb,freecad,*,*,*,*,*,*
cad/gerbv,gerbv_project,gerbv,*,*,*,*,*,*
cad/kicad,kicad,eda,*,*,*,*,*,*
cad/kicad-devel,kicad,eda,*,*,*,*,*,*
cad/leocad,leocad,leocad,*,*,*,*,*,*
cad/libopencad,libopencad_project,libopencad,*,*,*,*,*,*
